block,mode,kem,signature,median_ms,first_mode
4,warm,ntruplus_kem768,haetae5,3.536605,warm
4,warm,ntruplus_kem576,haetae3,3.328255,warm
4,warm,ntruplus_kem768,haetae3,2.900626,warm
4,warm,ntruplus_kem1152,haetae2,3.945268,warm
4,warm,smaug5,haetae5,3.998169,warm
4,warm,ntruplus_kem576,haetae5,3.012852,warm
4,warm,ntruplus_kem1152,aimer192f,6.806054,warm
4,warm,ntruplus_kem864,haetae2,4.183435,warm
4,warm,ntruplus_kem1152,haetae5,4.571,warm
4,warm,ntruplus_kem768,aimer256f,11.125441,warm
4,warm,ntruplus_kem864,haetae3,3.490535,warm
4,warm,smaug3,aimer192f,6.18514,warm
4,warm,ntruplus_kem576,aimer128f,3.832215,warm
4,warm,smaug5,aimer192f,6.303441,warm
4,warm,smaug1,haetae3,2.719575,warm
4,warm,ntruplus_kem1152,aimer128f,4.105175,warm
4,warm,ntruplus_kem1152,aimer256f,11.423618,warm
4,warm,smaug5,haetae3,3.843355,warm
4,warm,ntruplus_kem576,haetae2,4.471135,warm
4,warm,smaug1,aimer256f,11.087295,warm
4,warm,ntruplus_kem576,aimer192f,6.390557,warm
4,warm,smaug1,haetae2,3.258415,warm
4,warm,ntruplus_kem864,aimer192f,6.481443,warm
4,warm,smaug5,haetae2,2.768114,warm
4,warm,ntruplus_kem864,aimer128f,3.998632,warm
4,warm,smaug3,aimer128f,3.694681,warm
4,warm,ntruplus_kem864,aimer256f,11.278439,warm
4,warm,ntruplus_kem864,haetae5,4.643093,warm
4,warm,ntruplus_kem576,aimer256f,11.140236,warm
4,warm,smaug5,aimer128f,3.993441,warm
4,warm,smaug1,aimer128f,3.987208,warm
4,warm,smaug1,aimer192f,6.011737,warm
4,warm,smaug3,haetae5,3.220526,warm
4,warm,smaug3,aimer256f,11.06725,warm
4,warm,smaug1,haetae5,2.799247,warm
4,warm,smaug3,haetae3,2.952029,warm
4,warm,X25519,EC,0.777482,warm
4,warm,ntruplus_kem768,haetae2,3.639415,warm
4,warm,ntruplus_kem1152,haetae3,3.644646,warm
4,cold,ntruplus_kem768,aimer128f,4.920896,warm
4,cold,smaug5,aimer256f,11.66819,warm
4,cold,smaug3,haetae2,4.130315,warm
4,cold,ntruplus_kem768,aimer192f,7.043942,warm
4,cold,ntruplus_kem768,haetae5,4.411704,warm
4,cold,ntruplus_kem576,haetae3,3.957608,warm
4,cold,ntruplus_kem768,haetae3,3.959299,warm
4,cold,ntruplus_kem1152,haetae2,4.141803,warm
4,cold,smaug5,haetae5,4.118919,warm
4,cold,ntruplus_kem576,haetae5,5.982476,warm
4,cold,ntruplus_kem1152,aimer192f,7.28363,warm
4,cold,ntruplus_kem864,haetae2,3.705516,warm
4,cold,ntruplus_kem1152,haetae5,8.753937,warm
4,cold,ntruplus_kem768,aimer256f,12.064013,warm
4,cold,ntruplus_kem864,haetae3,4.274662,warm
4,cold,smaug3,aimer192f,6.849718,warm
4,cold,ntruplus_kem576,aimer128f,4.530826,warm
4,cold,smaug5,aimer192f,6.893169,warm
4,cold,smaug1,haetae3,4.178803,warm
4,cold,ntruplus_kem1152,aimer128f,5.184334,warm
4,cold,ntruplus_kem1152,aimer256f,12.042194,warm
4,cold,smaug5,haetae3,4.004143,warm
4,cold,ntruplus_kem576,haetae2,4.15134,warm
4,cold,smaug1,aimer256f,11.744799,warm
4,cold,ntruplus_kem576,aimer192f,6.934042,warm
4,cold,smaug1,haetae2,4.635224,warm
4,cold,ntruplus_kem864,aimer192f,7.189349,warm
4,cold,smaug5,haetae2,3.94305,warm
4,cold,ntruplus_kem864,aimer128f,4.907091,warm
4,cold,smaug3,aimer128f,4.63011,warm
4,cold,ntruplus_kem864,aimer256f,11.951957,warm
4,cold,ntruplus_kem864,haetae5,5.153833,warm
4,cold,ntruplus_kem576,aimer256f,11.821945,warm
